,name,value
858,performance,0.9970826
859,music,0.9940824
860,concert,0.9940204
861,musician,0.98273337
862,singer,0.978148
863,stage,0.96403307
864,band,0.9455645
865,festival,0.94311845
866,people,0.9313094
867,guitar,0.90515596
868,performance,0.99923563
869,concert,0.9982851
870,music,0.9982542
871,singer,0.99352825
872,musician,0.99250555
873,stage,0.9818224
874,band,0.9784494
875,festival,0.9639383
876,rap,0.944163
877,pop music,0.92434716
878,guitarist,0.9029126
879,people,0.9028553
880,performance,0.9988891
881,music,0.99744856
882,concert,0.9965585
883,musician,0.98969936
884,singer,0.9880941
885,stage,0.9642961
886,festival,0.9608451
887,band,0.95240116
888,guitar,0.9513015
889,pop music,0.94245577
890,guitarist,0.9366815
891,performance,0.9984739
892,music,0.9964682
893,concert,0.9955447
894,singer,0.98629063
895,musician,0.98369426
896,band,0.95241207
897,stage,0.9444793
898,rap,0.9427126
899,festival,0.9409764
900,guitar,0.90384555
901,performance,0.9984541
902,concert,0.9969943
903,music,0.99690247
904,musician,0.9925998
905,singer,0.9918486
906,festival,0.9670879
907,band,0.9664558
908,guitar,0.9551883
909,guitarist,0.9529563
910,stage,0.94116056
911,people,0.9245131
912,stringed instrument,0.9022147
913,people,0.9689009
914,one,0.9409069
915,adult,0.93181527
916,portrait,0.9244753
917,competition,0.902766
918,music,0.9939998
919,performance,0.9939718
920,concert,0.9891007
921,musician,0.9823984
922,singer,0.9716543
923,band,0.9503082
924,festival,0.9433323
925,people,0.94011104
926,stage,0.91576946
927,performance,0.99831843
928,concert,0.9949086
929,music,0.9947531
930,musician,0.98932564
931,singer,0.9833528
932,festival,0.9733048
933,band,0.96041155
934,stage,0.9586123
935,instrument,0.93402374
936,people,0.90550065
937,performance,0.99766135
938,music,0.9973895
939,concert,0.9955082
940,musician,0.9838296
941,singer,0.98040247
942,guitar,0.9797695
943,band,0.97464293
944,guitarist,0.9636406
945,stage,0.93338805
946,rock,0.9264238
947,festival,0.91435754
948,stringed instrument,0.9006023
949,music,0.995806
950,performance,0.9939008
951,musician,0.98953533
952,concert,0.9895057
953,singer,0.97094274
954,instrument,0.95729804
955,band,0.9571849
956,guitar,0.94845694
957,guitarist,0.94064593
958,festival,0.93161666
959,stringed instrument,0.92525244
960,stage,0.9119791
961,performance,0.9979942
962,music,0.9967401
963,concert,0.99613124
964,musician,0.9883355
965,singer,0.98579675
966,guitar,0.97991455
967,band,0.975541
968,guitarist,0.9739976
969,stringed instrument,0.95807207
970,instrument,0.94019717
971,stage,0.9382509
972,festival,0.9276965
973,performance,0.9994302
974,music,0.99816024
975,concert,0.99757296
976,singer,0.9911344
977,musician,0.9907905
978,festival,0.9696039
979,stage,0.9680443
980,band,0.96184623
981,guitar,0.93433434
982,pop music,0.9150337
983,rap,0.91152537
984,stringed instrument,0.9013758
985,music,0.99067223
986,performance,0.98901844
987,concert,0.9762728
988,musician,0.9721525
989,singer,0.9624759
990,people,0.9280095
991,band,0.92371243
992,stage,0.9223373
993,festival,0.9171568
994,adult,0.906783
995,concert,0.99668825
996,performance,0.99590445
997,music,0.9952408
998,musician,0.9929918
999,singer,0.9928484
1000,guitar,0.96878624
1001,band,0.96038616
1002,people,0.9539756
1003,stage,0.95101535
1004,one,0.9498414
1005,stringed instrument,0.9486252
1006,instrument,0.9185195
1007,adult,0.9090349
1008,performance,0.9962797
1009,music,0.9950346
1010,concert,0.99364865
1011,musician,0.98714864
1012,singer,0.980847
1013,festival,0.95533574
1014,people,0.95228785
1015,band,0.9419476
1016,one,0.9244448
1017,stage,0.92090726
1018,man,0.9156719
1019,adult,0.9045671
1020,performance,0.9995985
1021,music,0.99927175
1022,concert,0.99817985
1023,musician,0.99505603
1024,singer,0.9938412
1025,band,0.97938997
1026,stage,0.96630466
1027,festival,0.96615386
1028,guitar,0.96436346
1029,guitarist,0.9512176
1030,pop music,0.9359075
1031,people,0.93030804
1032,instrument,0.9182377
1033,performance,0.99635714
1034,concert,0.993652
1035,music,0.9934372
1036,singer,0.9823104
1037,musician,0.9812658
1038,stage,0.94459176
1039,people,0.94005007
1040,guitar,0.933926
1041,festival,0.92999935
1042,band,0.924469
1043,instrument,0.9195988
1044,adult,0.91937375
1045,one,0.9183438
1046,microphone,0.90649146
1047,music,0.9980271
1048,performance,0.9973128
1049,concert,0.9945681
1050,guitar,0.98945963
1051,musician,0.98525465
1052,singer,0.9824223
1053,guitarist,0.9767898
1054,band,0.96652305
1055,stringed instrument,0.94479597
1056,rock,0.9415543
1057,instrument,0.93664646
1058,stage,0.9168341
1059,pop music,0.90105516
1060,music,0.98190355
1061,concert,0.97191167
1062,singer,0.9684011
1063,people,0.9678407
1064,performance,0.9659356
1065,musician,0.9659151
1066,man,0.9610766
1067,one,0.9275259
1068,adult,0.911729
1069,performance,0.9846332
1070,concert,0.98354506
1071,music,0.98146534
1072,musician,0.9568383
1073,people,0.95511675
1074,singer,0.9541482
1075,man,0.950024
1076,stage,0.9265576
1077,festival,0.9071172
1078,music,0.9921497
1079,musician,0.98569334
1080,people,0.9834596
1081,concert,0.97838306
1082,singer,0.96912026
1083,man,0.9669125
1084,performance,0.96443737
1085,one,0.960008
1086,adult,0.9549768
1087,portrait,0.92507184
1088,stage,0.9137467
1089,instrument,0.91230786
1090,guitar,0.9043637
1091,performance,0.99804205
