,name,value
1180,tennis,0.97704893
1181,people,0.9673511
1182,action,0.9585851
1183,motion,0.94101524
1184,man,0.9374355
1185,racket,0.93695986
1186,adult,0.93562436
1187,tennis match,0.9281437
1188,tournament,0.910229
1189,tennis ball,0.9082817
1190,competition,0.9995023
1191,stadium,0.99709916
1192,game,0.9811032
1193,people,0.9786487
1194,ball,0.97810805
1195,tennis,0.9766824
1196,athlete,0.96803355
1197,tennis match,0.9603505
1198,action,0.95985174
1199,sports equipment,0.9590826
1200,racket,0.94777215
1201,tennis ball,0.9463599
1202,man,0.9442862
1203,tennis player,0.9433134
1204,motion,0.93124205
1205,group together,0.93015355
1206,many,0.9094366
1207,adult,0.90203476
1208,competition,0.99919325
1209,stadium,0.9867492
1210,motion,0.9807925
1211,ball,0.9664464
1212,people,0.96642303
1213,athlete,0.9558465
1214,action,0.9421396
1215,game,0.9298754
1216,many,0.92955434
1217,group together,0.9044147
1218,business,0.9661615
1219,signalise,0.9597057
1220,football,0.95303285
1221,signal,0.95197225
1222,soccer,0.95013344
1223,road,0.949294
1224,travel,0.94622
1225,no person,0.9342189
1226,billboard,0.9309598
