,name,value
745,mist,0.9490927
746,street,0.9394099
747,black and white,0.9305177
748,travel,0.922616
749,outdoors,0.9201963
750,rain,0.9200548
751,landscape,0.9907423
752,no person,0.9906838
753,water,0.9837936
754,beach,0.9749224
755,sand,0.9694382
756,sky,0.9619393
757,travel,0.95654655
758,seashore,0.9559392
759,desert,0.9556438
760,sea,0.95272815
761,outdoors,0.9417397
762,daylight,0.93819344
763,nature,0.93015313
764,dune,0.92633116
765,ocean,0.92579615
766,dawn,0.911829
767,sunset,0.9108836
768,competition,0.99049014
769,race,0.98949087
770,people,0.98591524
771,vehicle,0.9503938
772,athlete,0.9444489
773,sport,0.9416654
774,road,0.9376712
775,man,0.92935777
776,drag race,0.9173212
777,action,0.91609114
778,event,0.9148042
779,cyclist,0.91434604
780,wheel,0.91260123
781,crowd,0.90430665
782,competition,0.99768674
783,race,0.9976592
784,championship,0.99279505
785,track,0.99195474
786,auto racing,0.9897515
787,veil,0.9701154
788,people,0.95606506
789,wear,0.9550631
790,race (competition),0.9432382
791,adult,0.9213493
792,action,0.9046881
793,wheel,0.9880293
794,bike,0.9864462
795,competition,0.9760932
796,cyclist,0.9731685
797,sport,0.972031
798,race,0.97200656
799,active,0.9648211
800,exercise,0.9562428
801,fitness,0.94446135
802,fun,0.93306255
803,recreation,0.92250806
804,athlete,0.918494
805,biker,0.91564685
806,squad,0.9145139
807,man,0.9082954
808,race,0.99952763
809,competition,0.99948823
810,bike,0.99792683
811,wheel,0.99434745
812,sport,0.9917333
813,championship,0.9878448
814,hurry,0.98773915
815,athlete,0.9863869
816,cyclist,0.9820607
817,racer,0.981334
818,ride,0.97720027
819,biker,0.9733664
820,track,0.9667629
821,fast,0.9642005
822,squad,0.96143657
823,vehicle,0.9602076
824,action,0.95748127
825,helmet,0.946444
826,active,0.9391931
827,winner,0.9324893
828,competition,0.99855196
829,race,0.99207556
830,sport,0.98740613
831,bike,0.98453593
832,wheel,0.9844053
833,athlete,0.9787061
834,championship,0.97248983
835,cyclist,0.9705092
836,hurry,0.9582918
837,action,0.9479199
838,recreation,0.94144404
839,ride,0.9315659
840,biker,0.92562467
841,active,0.9012542
842,bike,0.99874747
843,wheel,0.9983001
844,sport,0.98356426
845,biker,0.9821292
846,competition,0.981069
847,cyclist,0.9805124
848,race,0.9794426
849,ride,0.97629976
850,hurry,0.9743421
851,seated,0.9275286
852,vehicle,0.9043546
853,helmet,0.904017
854,competition,0.9979137
855,race,0.996688
856,bike,0.9949218
857,wheel,0.99427927
858,cyclist,0.98706573
859,athlete,0.979825
860,sport,0.970243
861,biker,0.9669974
862,ride,0.9589932
863,hurry,0.9566622
864,vehicle,0.95388305
